commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P14_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus
01004,Amb�rieu-en-Bugey,EXPOSITO,Josiane,F,LDVG,AMBERIEU AMBITION,954,False,14022.0,51.64,48.36,19.92,19.95,20.01,18.18,12.92,9.02
01004,Amb�rieu-en-Bugey,PIDOUX,Catherine,F,LDVG,VIVONS NOTRE VILLE,822,False,14022.0,51.64,48.36,19.92,19.95,20.01,18.18,12.92,9.02
01004,Amb�rieu-en-Bugey,FORTIN,Christophe,M,LUMP,AMBERIEU RENOUVEAU,1383,False,14022.0,51.64,48.36,19.92,19.95,20.01,18.18,12.92,9.02
01004,Amb�rieu-en-Bugey,FABRE,Daniel,M,LDVD,PAROLE  AUX AMBARROIS,1426,False,14022.0,51.64,48.36,19.92,19.95,20.01,18.18,12.92,9.02
01005,Amb�rieux-en-Dombes,PERNET,Pierre,M,LDIV,ENGAGES POUR VOTRE AVENIR,479,True,1627.0,49.6,50.4,20.4,17.09,19.19,21.73,14.11,7.47
01007,Ambronay,LEVRAT,Gis�le,F,LDVG,AMBRONAY POUR TOUS,552,False,2570.0,51.01,48.99,22.28,15.75,20.8,20.29,13.29,7.59
01007,Ambronay,FOURNIER,Gabriel,M,LDVD,AMBRONAY Demain,178,False,2570.0,51.01,48.99,22.28,15.75,20.8,20.29,13.29,7.59
01007,Ambronay,MANCUSO,Vincent,M,LDVD,AGIR ENSEMBLE POUR L'AVENIR D'AMBRONAY,461,False,2570.0,51.01,48.99,22.28,15.75,20.8,20.29,13.29,7.59
01010,Anglefort,NANTERME,Jacky,M,LDVD,AGIR ENSEMBLE POUR ANGLEFORT,228,True,1142.0,49.95,50.05,24.05,16.86,19.99,18.57,13.08,7.45
01010,Anglefort,THIBOUD,Bernard,M,LDVD,ENSEMBLE CONTINUONS ANGLEFORT,292,True,1142.0,49.95,50.05,24.05,16.86,19.99,18.57,13.08,7.45
01014,Arbent,MAISSIAT,Liliane,F,LUMP,"POUR L'AVENIR DE TOUS, CONTINUONS ENSEMBLE",930,True,3405.0,48.91,51.09,19.72,15.89,18.53,22.45,15.55,7.87
01021,Ars-sur-Formans,DUVIVIER,Patrick,M,LDIV,J'aime mon village,315,True,1376.0,50.9,49.1,21.52,18.53,20.51,20.26,13.05,6.13
01021,Ars-sur-Formans,PACCAUD,Richard,M,LDIV,ARS 2014,411,True,1376.0,50.9,49.1,21.52,18.53,20.51,20.26,13.05,6.13
01022,Artemare,CHARMONT-MUNET,Mireille,F,LDVD,"AVEC VOUS, GARDONS LE CAP",386,True,1193.0,50.72,49.28,16.7,14.04,16.72,21.85,18.04,12.64
01022,Artemare,LESEUR,Philippe,M,LDVD,"ARTEMARE, UNE DYNAMIQUE POUR L'AVENIR",207,True,1193.0,50.72,49.28,16.7,14.04,16.72,21.85,18.04,12.64
01024,Attignat,GOYARD,Martial,M,LDVG,ENSEMBLE POUR ATTIGNAT 2014 - 2020,580,True,3386.0,49.61,50.39,23.36,17.64,21.32,19.87,11.79,6.02
01024,Attignat,MARTIN,Walter,M,LDVD,ATTIGNAT 2014... UN AUTRE AVENIR,840,True,3386.0,49.61,50.39,23.36,17.64,21.32,19.87,11.79,6.02
