commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P11_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
01004,Ambérieu-en-Bugey,CASTELLANO,Sandrine,F,LDVD,AVEC VOUS POUR AMBERIEU,1327,,13839.0,51.41,48.59,20.42,21.42,19.06,18.42,11.89,8.8,24.15,18.77,10.18,11.9
01004,Ambérieu-en-Bugey,EXPOSITO,Josiane,F,LUG,AMBERIEU-AMBITION,1341,,13839.0,51.41,48.59,20.42,21.42,19.06,18.42,11.89,8.8,24.15,18.77,10.18,11.9
01004,Ambérieu-en-Bugey,PAVIER,Bernard,M,LGC,AMBERIEU POUR TOUS !,820,,13839.0,51.41,48.59,20.42,21.42,19.06,18.42,11.89,8.8,24.15,18.77,10.18,11.9
01004,Ambérieu-en-Bugey,SASSO,Jean-Marc,M,LDVD,ENSEMBLE POUR AMBERIEU,784,,13839.0,51.41,48.59,20.42,21.42,19.06,18.42,11.89,8.8,24.15,18.77,10.18,11.9
01014,Arbent,GAUTHIER,Michel,M,LDVD,TOUS UNIS POUR ARBENT-MARCHON,266,,3458.0,48.8,51.2,20.5,15.24,19.77,21.72,16.31,6.45,23.34,14.17,5.39,12.87
01014,Arbent,MAISSIAT,Liliane,F,LMAJ,ARBENT-MARCHON UN ENGAGEMENT DURABLE,985,,3458.0,48.8,51.2,20.5,15.24,19.77,21.72,16.31,6.45,23.34,14.17,5.39,12.87
01033,Bellegarde-sur-Valserine,LARMANJAT,Guy,M,LSOC,A L'ECOUTE DE TOUS...UN MAIRE POUR NOTRE VILLE,1605,,15810.0,50.44,49.56,20.04,18.42,21.57,17.66,13.62,8.7,27.37,14.81,8.77,16.28
01033,Bellegarde-sur-Valserine,PETIT,Régis,M,LMAJ,BELLEGARDE NOTRE VILLE NOTRE PASSION,2237,,15810.0,50.44,49.56,20.04,18.42,21.57,17.66,13.62,8.7,27.37,14.81,8.77,16.28
01034,Belley,CAVALLERO,Claude,M,LSOC,VIVRE A BELLEY,530,,8761.0,52.65,47.35,18.66,17.41,18.7,18.43,14.02,12.78,25.03,15.9,8.67,13.04
01034,Belley,FOGNINI,Jean-Marc,M,LDVG,CHANGEONS BELLEY ENSEMBLE,1297,,8761.0,52.65,47.35,18.66,17.41,18.7,18.43,14.02,12.78,25.03,15.9,8.67,13.04
01034,Belley,TRAVERS,Jean-Claude,M,LMAJ,POUR BELLEY DEMAIN,1474,,8761.0,52.65,47.35,18.66,17.41,18.7,18.43,14.02,12.78,25.03,15.9,8.67,13.04
01043,Beynost,BARDIN,Christian,M,LDVD,"POUR BEYNOST, UNE VIE DIFFERENTE",483,,4471.0,50.24,49.76,21.42,15.62,20.89,21.21,14.14,6.73,23.3,17.3,17.19,5.83
01043,Beynost,CADET,Isabelle,F,LDVD,UN NOUVEAU VISAGE POUR BEYNOST,533,,4471.0,50.24,49.76,21.42,15.62,20.89,21.21,14.14,6.73,23.3,17.3,17.19,5.83
01043,Beynost,NICOD,Michel,M,LDVD,BEYNOST AUTREMENT,873,,4471.0,50.24,49.76,21.42,15.62,20.89,21.21,14.14,6.73,23.3,17.3,17.19,5.83
01053,Bourg-en-Bresse,GUILLEMAUT,Bernard,M,LCMD,BOURG EN MOUVEMENT,835,,39882.0,52.94,47.06,15.54,22.5,17.7,18.06,14.4,11.8,23.4,16.0,11.07,15.85
01053,Bourg-en-Bresse,GUENARD-GERBAUD,Carole,F,LEXG,100 % A GAUCHE,460,,39882.0,52.94,47.06,15.54,22.5,17.7,18.06,14.4,11.8,23.4,16.0,11.07,15.85
01053,Bourg-en-Bresse,DEBAT,Jean-François,M,LSOC,POUR BOURG UNISSON NOS ENERGIES,7298,,39882.0,52.94,47.06,15.54,22.5,17.7,18.06,14.4,11.8,23.4,16.0,11.07,15.85
01053,Bourg-en-Bresse,FEILLENS,Christophe,M,LMAJ,"ENSEMBLE, DESSINONS L'AVENIR DE BOURG",4587,,39882.0,52.94,47.06,15.54,22.5,17.7,18.06,14.4,11.8,23.4,16.0,11.07,15.85
01093,Châtillon-sur-Chalaronne,CLAYETTE,Yves,M,LMAJ,VIVONS CHATILLON ENSEMBLE,1106,,4940.0,52.12,47.88,17.73,17.39,17.31,17.59,16.1,13.88,24.86,19.99,8.38,10.29
01093,Châtillon-sur-Chalaronne,PADET,Philippe,M,LDVD,INITIATIVE COMMUNE,391,,4940.0,52.12,47.88,17.73,17.39,17.31,17.59,16.1,13.88,24.86,19.99,8.38,10.29
01093,Châtillon-sur-Chalaronne,RENOUD-GRAPPIN,Michel,M,LDVG,"CHATILLON, UN TEMPS D'AVANCE",806,,4940.0,52.12,47.88,17.73,17.39,17.31,17.59,16.1,13.88,24.86,19.99,8.38,10.29
01142,Dagneux,LOBIETTI,Bernard,M,LMAJ,ENSEMBLE POUR DAGNEUX,659,,4183.0,50.54,49.46,23.21,18.1,21.95,19.65,12.55,4.54,28.56,17.55,11.35,9.25
01142,Dagneux,SIMPLEX,Bernard,M,LDVD,CHANGEONS L'AVENIR,939,,4183.0,50.54,49.46,23.21,18.1,21.95,19.65,12.55,4.54,28.56,17.55,11.35,9.25
