commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P11_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
93007,Le Blanc-Mesnil,FEURTET,Daniel,M,LUG,à gauche pour une ville de toutes les réussistes,5589,,51916.0,51.31,48.69,24.18,20.57,20.55,19.58,9.87,5.25,20.01,16.77,6.12,19.5
93007,Le Blanc-Mesnil,MEIGNEN,Thierry,M,LMAJ,Ensemble pour changer Le Blanc-Mesnil,5544,,51916.0,51.31,48.69,24.18,20.57,20.55,19.58,9.87,5.25,20.01,16.77,6.12,19.5
93007,Le Blanc-Mesnil,RAMOS,Alain,M,LDVG,"Le Blanc-Mesnil c'est vous, Le Blanc-Mesnil pour vous",1596,,51916.0,51.31,48.69,24.18,20.57,20.55,19.58,9.87,5.25,20.01,16.77,6.12,19.5
93027,La Courneuve,HAMZA,Kamel,M,LMC,droite centre gauche notre parti politique c'est la courneuve,898,,38789.0,50.35,49.65,23.84,23.97,22.35,17.13,8.34,4.36,16.15,14.76,6.18,25.61
93027,La Courneuve,POUX,Gilles,M,LCOM,LA COURNEUVE EN MARCHE LISTE DE RASSEMBLEMENT DE TOUTES LES ENERGIES A GAUCHE,3665,,38789.0,50.35,49.65,23.84,23.97,22.35,17.13,8.34,4.36,16.15,14.76,6.18,25.61
93027,La Courneuve,TROUSSEL,Alain,M,LSOC,ensemble reussir la courneuve,2882,,38789.0,50.35,49.65,23.84,23.97,22.35,17.13,8.34,4.36,16.15,14.76,6.18,25.61
93032,Gagny,TEULET,Michel,M,LMAJ,Union pour Gagny-continuons ensemble,5421,,39378.0,52.06,47.94,21.68,18.62,20.98,19.95,11.77,7.0,22.14,18.76,11.83,11.5
93032,Gagny,DHOEDT,Jim,M,LDVD,ENSEMBLE POUR L'AVENIR DES GABINIENS,4874,,39378.0,52.06,47.94,21.68,18.62,20.98,19.95,11.77,7.0,22.14,18.76,11.83,11.5
93032,Gagny,GALAZKA,Marie-Anne,F,LSOC,GAGNY AUTREMENT,2740,,39378.0,52.06,47.94,21.68,18.62,20.98,19.95,11.77,7.0,22.14,18.76,11.83,11.5
93039,L'Ile-Saint-Denis,FLANDRIN,JOEL,M,LCOM,POUR UNE VILLE POPULAIRE OUVERTE ET SOLIDAIRE PRESENTEE PAR UN LARGE COLLECTIF,1063,,7037.0,52.78,47.22,24.12,19.43,22.68,18.62,10.89,4.28,18.53,16.9,10.14,20.43
93039,L'Ile-Saint-Denis,BOURGAIN,Michel,M,LVEC,ENSEMBLE POUR UNE ILE VIVANTE,1099,,7037.0,52.78,47.22,24.12,19.43,22.68,18.62,10.89,4.28,18.53,16.9,10.14,20.43
93048,Montreuil,BRARD,Jean-Pierre,M,LUG,Montreuil en plein élan. Liste d'union et de rassemblement de la gauche,12230,,103068.0,50.13,49.87,20.64,19.0,24.46,19.8,10.36,5.75,15.48,15.78,20.08,18.0
93048,Montreuil,VOYNET,Dominique,F,LDVG,"MONTREUIL,  VRAIMENT !",14468,,103068.0,50.13,49.87,20.64,19.0,24.46,19.8,10.36,5.75,15.48,15.78,20.08,18.0
93051,Noisy-le-Grand,MARTINS,Maryline,F,LCMD,Ensemble gagner Noisy,2021,,62970.0,51.18,48.82,20.46,22.8,22.18,19.4,10.43,4.73,18.44,17.93,17.81,11.93
93051,Noisy-le-Grand,MONNIN,Sylvie,F,LCOM,Noisy sondage-A gauche vraiement,1929,,62970.0,51.18,48.82,20.46,22.8,22.18,19.4,10.43,4.73,18.44,17.93,17.81,11.93
93051,Noisy-le-Grand,MORERE,Jean-Marc,M,LMAJ,Mieux vivre à Noisy-Le-Grand,5532,,62970.0,51.18,48.82,20.46,22.8,22.18,19.4,10.43,4.73,18.44,17.93,17.81,11.93
93051,Noisy-le-Grand,PAJON,Michel,M,LSOC,"Noisy-le-Grand, énergie douce - Avec Michel Pajon",7893,,62970.0,51.18,48.82,20.46,22.8,22.18,19.4,10.43,4.73,18.44,17.93,17.81,11.93
93053,Noisy-le-Sec,PEREIRA-LEMAITRE,Alda,F,LUG,TOUTE LA GAUCHE RASSEMBLEE,5545,,40232.0,51.66,48.34,23.15,20.62,23.24,17.91,9.68,5.38,19.96,16.64,11.84,20.06
93053,Noisy-le-Sec,RIVOIRE,Nicole,F,LMC,"Liste d'intéret communal avec Nicole RIVOIRE, confirmons le changement",5291,,40232.0,51.66,48.34,23.15,20.62,23.24,17.91,9.68,5.38,19.96,16.64,11.84,20.06
93059,Pierrefitte-sur-Seine,BAZELI,Alex,M,LMAJ,Un autre Pierrefitte,1908,,,,,,,,,,,,,,
93059,Pierrefitte-sur-Seine,FOURCADE,Michel,M,LUG,AVEC VOUS CHANGEONS PIERREFITTE,3691,,,,,,,,,,,,,,
93062,Le Raincy,LAPIDUS,Stéphane,M,LSOC,LE RAINCY A VENIR,1188,,13928.0,52.73,47.27,18.22,19.23,21.27,19.97,12.62,8.69,14.75,20.81,23.95,9.66
93062,Le Raincy,GENESTIER,Jean-Michel,M,LDVD,Réussir Le Raincy,1515,,13928.0,52.73,47.27,18.22,19.23,21.27,19.97,12.62,8.69,14.75,20.81,23.95,9.66
93062,Le Raincy,RAOULT,Eric,M,LMAJ,Aimer Le Raincy,2874,,13928.0,52.73,47.27,18.22,19.23,21.27,19.97,12.62,8.69,14.75,20.81,23.95,9.66
93063,Romainville,LABBEZ,Joelle,F,LMAJ,romainville pour tous,1019,,25512.0,52.49,47.51,21.76,20.03,21.28,19.23,11.49,6.21,20.84,15.21,10.91,19.08
93063,Romainville,DAUVERGNE,Sofia,F,LDVG,UNE GAUCHE RENOUVELEE POUR UNE VILLE CHALEUREUSE ET SOLIDAIRE,2313,,25512.0,52.49,47.51,21.76,20.03,21.28,19.23,11.49,6.21,20.84,15.21,10.91,19.08
93063,Romainville,VALLS,Corinne,F,LUG,ENSEMBLE CONTINUONS A REUSSIR ROMAINVILLE - VALLS,3134,,25512.0,52.49,47.51,21.76,20.03,21.28,19.23,11.49,6.21,20.84,15.21,10.91,19.08
93066,Saint-Denis,PAILLARD,Didier,M,LCOM,Liste de rassemblement de toute la gauche et des écologistes Saint-Denis pour tous,7774,,135788.0,49.76,50.24,24.13,22.07,23.72,16.94,8.92,4.22,17.36,16.07,11.52,22.36
93066,Saint-Denis,DUCOS-FONFREDE,Xavier,M,LMC,ENSEMBLE POUR UN NOUVEAU ST DENIS,2863,,135788.0,49.76,50.24,24.13,22.07,23.72,16.94,8.92,4.22,17.36,16.07,11.52,22.36
93066,Saint-Denis,SALI,Georges,M,LSOC,Ensemble pour l'avenir de Saint-Denis,4769,,135788.0,49.76,50.24,24.13,22.07,23.72,16.94,8.92,4.22,17.36,16.07,11.52,22.36
93070,Saint-Ouen,ROUILLON,Jacqueline,F,LUG,Réussir Saint-Ouen,5277,,47783.0,49.85,50.15,19.88,23.17,25.49,17.6,9.13,4.74,16.67,16.94,15.25,18.68
93070,Saint-Ouen,KEITA,Mamadou,M,LDVG,ensemble Saint-Ouen avec KEITA,973,,47783.0,49.85,50.15,19.88,23.17,25.49,17.6,9.13,4.74,16.67,16.94,15.25,18.68
93070,Saint-Ouen,DELANNOY,William,M,LDVD,vivre et s'epanouir a sain ouen,4129,,47783.0,49.85,50.15,19.88,23.17,25.49,17.6,9.13,4.74,16.67,16.94,15.25,18.68
